term,frequency
health,1384
clinic,1341
dental,1337
eye,1238
well,1019
pressure,987
blood,853
medicine,811
doctor,711
sugar,630
thyroid,592
rupees,537
free,527
healthy,513
pain,369
problem,229
issue,188
checkup,170
fee,151
treatment,147
specialist,110
skin,104
consultation,83
nerve,72
prescription,32
cataract,27
glasses,27
bone,23
drops,21
stomach,20
diet,17
swelling,15
cold,12
operation,11
report,11
test,10
allergy,8
breathing,7
calcium,7
degeneration,7
hospital,6
surgery,5
fever,5
cholesterol,5
eczema,1
