column,completeness_%
call_date,0.0
conditions_reported,2.71
advice_given,7.33
clinic_name,16.69
patient_name,20.74
tests_recommended,35.63
clinic_location,37.99
medicines,64.15
extraction_warnings,81.29
conditions_screened,83.88
doctor_specializations,97.52
call_id,100.0
conf_patient_name,100.0
conf_compliance,100.0
segment_count,100.0
flagged_segment_ratio,100.0
needs_manual_review,100.0
conf_recovery_status,100.0
recovery_status,100.0
low_quality_segments,100.0
family_health_mentions,100.0
clinic_closed_notice,100.0
appointment_status,100.0
referral_needed,100.0
follow_up_required,100.0
urgency_level,100.0
call_outcome,100.0
conversation_type,100.0
duration_seconds,100.0
file_id,100.0
patient_compliance,100.0
structured_summary,100.0
